lap2D_5pt_n1000.mtx  |  Average over 11284: 0.0365565 s
Rank 1 time in mat_vec: 0.0262615 s
Rank 0 time in mat_vec: 0.0261096 s
Rank 0 time in mat_vec: 0.0258404 s
Rank 1 time in mat_vec: 0.0261708 s
Rank 0 time in mat_vec: 0.0256617 s
Rank 1 time in mat_vec: 0.0261481 s
Rank 0 time in mat_vec: 0.0257668 s
Rank 1 time in mat_vec: 0.0260994 s
Rank 0 time in mat_vec: 0.0256528 s
Rank 1 time in mat_vec: 0.0261109 s
Rank 0 time in mat_vec: 0.025718 s
Rank 1 time in mat_vec: 0.0261014 s
Rank 0 time in mat_vec: 0.026118 s
Rank 1 time in mat_vec: 0.0273111 s
Rank 1 time in mat_vec: 0.0260328 s
Rank 0 time in mat_vec: 0.026472 s
Rank 0 time in mat_vec: 0.0256504 s
Rank 1 time in mat_vec: 0.0261121 s
Rank 0 time in mat_vec: 0.0257164 s
Rank 1 time in mat_vec: 0.0261094 s
Rank 0 time in mat_vec: 0.0256606 s
Rank 1 time in mat_vec: 0.0260901 s
Rank 0 time in mat_vec: 0.0257065 s
Rank 1 time in mat_vec: 0.0260992 s
Rank 0 time in mat_vec: 0.0256572 s
Rank 1 time in mat_vec: 0.026114 s
Rank 0 time in mat_vec: 0.0257092 s
Rank 1 time in mat_vec: 0.0260952 s
Rank 0 time in mat_vec: 0.025664 s
Rank 1 time in mat_vec: 0.0261078 s
Rank 0 time in mat_vec: 0.0256918 s
Rank 1 time in mat_vec: 0.0260838 s
Rank 0 time in mat_vec: 0.0256055 s
Rank 1 time in mat_vec: 0.0261088 s
Rank 0 time in mat_vec: 0.0259005 s
Rank 1 time in mat_vec: 0.0260817 s
Rank 1 time in mat_vec: 0.026019 s
Rank 0 time in mat_vec: 0.026931 s
Rank 0 time in mat_vec: 0.0258082 s
Rank 1 time in mat_vec: 0.0260955 s
Rank 0 time in mat_vec: 0.0256792 s
Rank 1 time in mat_vec: 0.0261285 s
Rank 0 time in mat_vec: 0.0257042 s
Rank 1 time in mat_vec: 0.0261017 s
Rank 0 time in mat_vec: 0.0256476 s
Rank 1 time in mat_vec: 0.0261363 s
Rank 0 time in mat_vec: 0.0256979 s
Rank 1 time in mat_vec: 0.0260997 s
Rank 0 time in mat_vec: 0.0256406 s
Rank 1 time in mat_vec: 0.0261387 s
Rank 0 time in mat_vec: 0.0257032 s
Rank 1 time in mat_vec: 0.0261093 s
Rank 0 time in mat_vec: 0.0256669 s
Rank 1 time in mat_vec: 0.0261306 s
Rank 0 time in mat_vec: 0.0257738 s
Rank 1 time in mat_vec: 0.0261052 s
Rank 0 time in mat_vec: 0.0256434 s
Rank 1 time in mat_vec: 0.0261297 s
Rank 0 time in mat_vec: 0.0256984 s
Rank 1 time in mat_vec: 0.0261125 s
Rank 0 time in mat_vec: 0.025634 s
Rank 1 time in mat_vec: 0.0261517 s
Rank 0 time in mat_vec: 0.0256933 s
Rank 1 time in mat_vec: 0.0261244 s
Rank 0 time in mat_vec: 0.0256397 s
Rank 1 time in mat_vec: 0.0261405 s
Rank 0 time in mat_vec: 0.0256807 s
Rank 1 time in mat_vec: 0.0261134 s
Rank 0 time in mat_vec: 0.0256359 s
Rank 1 time in mat_vec: 0.0260978 s
Rank 0 time in mat_vec: 0.0256721 s
Rank 1 time in mat_vec: 0.0260953 s
Rank 0 time in mat_vec: 0.0256691 s
Rank 1 time in mat_vec: 0.0260969 s
Rank 0 time in mat_vec: 0.0257048 s
Rank 1 time in mat_vec: 0.0261016 s
Rank 0 time in mat_vec: 0.0256518 s
Rank 1 time in mat_vec: 0.0261358 s
Rank 0 time in mat_vec: 0.0257058 s
Rank 1 time in mat_vec: 0.0261091 s
Rank 0 time in mat_vec: 0.0255995 s
Rank 1 time in mat_vec: 0.0261405 s
Rank 0 time in mat_vec: 0.0256798 s
Rank 1 time in mat_vec: 0.0260939 s
Rank 0 time in mat_vec: 0.0256288 s
Rank 1 time in mat_vec: 0.0261309 s
Rank 0 time in mat_vec: 0.0256999 s
Rank 1 time in mat_vec: 0.0260733 s
Rank 0 time in mat_vec: 0.0256463 s
Rank 1 time in mat_vec: 0.0260965 s
Rank 0 time in mat_vec: 0.0257075 s
Rank 1 time in mat_vec: 0.0260978 s
Rank 0 time in mat_vec: 0.0256359 s
Rank 1 time in mat_vec: 0.0261247 s
Rank 0 time in mat_vec: 0.0257134 s
Rank 1 time in mat_vec: 0.0260578 s
Rank 0 time in mat_vec: 0.0256372 s
Rank 1 time in mat_vec: 0.0261348 s
Rank 0 time in mat_vec: 0.0256902 s
Rank 1 time in mat_vec: 0.0260807 s
Rank 0 time in mat_vec: 0.0256541 s
Rank 1 time in mat_vec: 0.026119 s
Rank 0 time in mat_vec: 0.0256873 s
Rank 1 time in mat_vec: 0.0261033 s
Rank 0 time in mat_vec: 0.0256228 s
Rank 1 time in mat_vec: 0.0260957 s
Rank 0 time in mat_vec: 0.0256862 s
Rank 1 time in mat_vec: 0.0260971 s
Rank 0 time in mat_vec: 0.0256584 s
Rank 1 time in mat_vec: 0.0261029 s
Rank 0 time in mat_vec: 0.025702 s
Rank 1 time in mat_vec: 0.0260974 s
Rank 0 time in mat_vec: 0.0256854 s
Rank 1 time in mat_vec: 0.0260738 s
Rank 0 time in mat_vec: 0.0257022 s
Rank 1 time in mat_vec: 0.0261235 s
Rank 0 time in mat_vec: 0.0256254 s
Rank 1 time in mat_vec: 0.026156 s
Rank 0 time in mat_vec: 0.0256683 s
Rank 1 time in mat_vec: 0.0261036 s
Rank 0 time in mat_vec: 0.0256277 s
Rank 1 time in mat_vec: 0.0260699 s
Rank 0 time in mat_vec: 0.0257186 s
Rank 1 time in mat_vec: 0.0260857 s
Rank 0 time in mat_vec: 0.0256518 s
Rank 1 time in mat_vec: 0.0261204 s
Rank 0 time in mat_vec: 0.0268775 s
Rank 1 time in mat_vec: 0.0271779 s
Rank 1 time in mat_vec: 0.0260455 s
Rank 0 time in mat_vec: 0.0256422 s
Rank 0 time in mat_vec: 0.0256884 s
Rank 1 time in mat_vec: 0.0260581 s
Rank 0 time in mat_vec: 0.0256393 s
Rank 1 time in mat_vec: 0.0261097 s
Rank 0 time in mat_vec: 0.0257145 s
Rank 1 time in mat_vec: 0.0261056 s
Rank 0 time in mat_vec: 0.0256349 s
Rank 1 time in mat_vec: 0.0261053 s
Rank 0 time in mat_vec: 0.0257216 s
Rank 1 time in mat_vec: 0.0261123 s
Rank 0 time in mat_vec: 0.0256418 s
Rank 1 time in mat_vec: 0.026126 s
Rank 0 time in mat_vec: 0.0256841 s
Rank 1 time in mat_vec: 0.0260801 s
Rank 0 time in mat_vec: 0.0256566 s
Rank 1 time in mat_vec: 0.0261135 s
Rank 0 time in mat_vec: 0.0257192 s
Rank 1 time in mat_vec: 0.0261366 s
Rank 0 time in mat_vec: 0.0258411 s
Rank 1 time in mat_vec: 0.026117 s
Rank 1 time in mat_vec: 0.0260158 s
Rank 0 time in mat_vec: 0.0263753 s
Rank 0 time in mat_vec: 0.0257023 s
Rank 1 time in mat_vec: 0.0261161 s
Rank 0 time in mat_vec: 0.0256843 s
Rank 1 time in mat_vec: 0.0260829 s
Rank 0 time in mat_vec: 0.0256083 s
Rank 1 time in mat_vec: 0.0261108 s
Rank 0 time in mat_vec: 0.0257019 s
Rank 1 time in mat_vec: 0.0260774 s
Rank 0 time in mat_vec: 0.0256289 s
Rank 1 time in mat_vec: 0.0261258 s
Rank 0 time in mat_vec: 0.0256979 s
Rank 1 time in mat_vec: 0.0261051 s
Rank 0 time in mat_vec: 0.0256733 s
Rank 1 time in mat_vec: 0.0261215 s
Rank 0 time in mat_vec: 0.025692 s
Rank 1 time in mat_vec: 0.0261465 s
Rank 0 time in mat_vec: 0.0256251 s
Rank 1 time in mat_vec: 0.0260975 s
Rank 0 time in mat_vec: 0.0257096 s
Rank 1 time in mat_vec: 0.0261111 s
Rank 0 time in mat_vec: 0.0256336 s
Rank 1 time in mat_vec: 0.0261031 s
Rank 0 time in mat_vec: 0.0257062 s
Rank 1 time in mat_vec: 0.0260911 s
Rank 0 time in mat_vec: 0.0256035 s
Rank 1 time in mat_vec: 0.026083 s
Rank 0 time in mat_vec: 0.0257045 s
Rank 1 time in mat_vec: 0.0260877 s
Rank 0 time in mat_vec: 0.0256268 s
Rank 1 time in mat_vec: 0.0260576 s
Rank 0 time in mat_vec: 0.0257131 s
Rank 1 time in mat_vec: 0.0260678 s
Rank 0 time in mat_vec: 0.0256313 s
Rank 1 time in mat_vec: 0.026066 s
Rank 0 time in mat_vec: 0.0256958 s
Rank 1 time in mat_vec: 0.0261142 s
Rank 0 time in mat_vec: 0.0256367 s
Rank 1 time in mat_vec: 0.026095 s
Rank 0 time in mat_vec: 0.0256719 s
Rank 1 time in mat_vec: 0.0260628 s
Rank 0 time in mat_vec: 0.0256107 s
Rank 1 time in mat_vec: 0.0260822 s
Rank 0 time in mat_vec: 0.0257063 s
Rank 1 time in mat_vec: 0.0260449 s
Rank 0 time in mat_vec: 0.0256387 s
Rank 1 time in mat_vec: 0.0260691 s
Rank 0 time in mat_vec: 0.0257119 s
Rank 1 time in mat_vec: 0.026096 s
Rank 0 time in mat_vec: 0.0256167 s
Rank 1 time in mat_vec: 0.0261205 s
Rank 0 time in mat_vec: 0.025706 s
Rank 1 time in mat_vec: 0.0260985 s
Rank 0 time in mat_vec: 0.0257855 s
Rank 1 time in mat_vec: 0.0261072 s
