lap2D_5pt_n1000.mtx |  Average over 45136: 0.0143144 s
Rank 5 time in mat_vec: 0.0161839 s
Rank 1 time in mat_vec: 0.0161832 s 
Rank 3 time in mat_vec: 0.0170576 s
Rank 7 time in mat_vec: 0.0168719 s
Rank 6 time in mat_vec: 0.0166613 s
Rank 2 time in mat_vec: 0.0167872 s
Rank 0 time in mat_vec: 0.017532 s
Rank 4 time in mat_vec: 0.019109 s
Rank 5 time in mat_vec: 0.0139496 s
Rank 1 time in mat_vec: 0.0138367 s
Rank 7 time in mat_vec: 0.0140531 s
Rank 3 time in mat_vec: 0.0139525 s
Rank 4 time in mat_vec: 0.0168946 s
Rank 0 time in mat_vec: 0.0172938 s
Rank 6 time in mat_vec: 0.017414 s
Rank 2 time in mat_vec: 0.0177298 s
Rank 1 time in mat_vec: 0.01141 s
Rank 3 time in mat_vec: 0.0113567 s
Rank 7 time in mat_vec: 0.0131974 s
Rank 5 time in mat_vec: 0.0132748 s
Rank 4 time in mat_vec: 0.0145393 s
Rank 0 time in mat_vec: 0.0144477 s
Rank 2 time in mat_vec: 0.0142837 s
Rank 6 time in mat_vec: 0.0145632 s
Rank 1 time in mat_vec: 0.0113986 s
Rank 3 time in mat_vec: 0.0113872 s
Rank 7 time in mat_vec: 0.0130753 s
Rank 5 time in mat_vec: 0.013279 s
Rank 2 time in mat_vec: 0.0144221 s
Rank 4 time in mat_vec: 0.0143625 s
Rank 0 time in mat_vec: 0.0145618 s
Rank 6 time in mat_vec: 0.014488 s
Rank 1 time in mat_vec: 0.011311 s
Rank 3 time in mat_vec: 0.0112417 s
Rank 7 time in mat_vec: 0.0127207 s
Rank 5 time in mat_vec: 0.0129646 s
Rank 0 time in mat_vec: 0.0128783 s
Rank 2 time in mat_vec: 0.0130121 s
Rank 6 time in mat_vec: 0.0129406 s
Rank 4 time in mat_vec: 0.0129335 s
Rank 1 time in mat_vec: 0.0114454 s
Rank 3 time in mat_vec: 0.0114407 s
Rank 7 time in mat_vec: 0.0131794 s
Rank 5 time in mat_vec: 0.0133204 s
Rank 4 time in mat_vec: 0.0133789 s
Rank 0 time in mat_vec: 0.0133707 s
Rank 6 time in mat_vec: 0.0135767 s
Rank 2 time in mat_vec: 0.0134519 s
Rank 1 time in mat_vec: 0.0119678 s
Rank 3 time in mat_vec: 0.0118978 s
Rank 7 time in mat_vec: 0.0141408 s
Rank 5 time in mat_vec: 0.0142913 s
Rank 6 time in mat_vec: 0.0166939 s
Rank 4 time in mat_vec: 0.0170669 s
Rank 0 time in mat_vec: 0.0173474 s
Rank 2 time in mat_vec: 0.017406 s
Rank 1 time in mat_vec: 0.012203 s
